name	number
ten	86
ten	70
five	80
four	80
one	92
eight	86
two	52
seven	12
seven	39
eight	80
four	39
five	71
ten	13
six	61
nine	54
four	51
one	40
five	26
five	38
three	98
four	99
two	94
five	90
seven	83
two	86
nine	1
six	21
seven	34
nine	38
nine	85
four	48
three	80
three	55
seven	26
ten	69
eight	34
six	56
eight	75
five	70
eight	28
eight	78
seven	11
three	32
four	77
eight	3
one	66
five	76
four	57
one	8
ten	8
nine	79
three	71
eight	13
three	22
five	62
nine	94
three	30
one	95
four	14
five	98
one	21
eight	85
three	46
three	28
three	28
seven	76
three	17
five	28
one	4
seven	91
five	43
eight	38
seven	74
one	93
five	70
five	97
one	27
one	70
three	22
two	23
seven	31
two	31
four	95
four	60
one	60
five	61
five	13
three	26
ten	53
one	31
nine	22
six	45
six	45
eight	51
eight	81
nine	16
ten	89
nine	92
three	51
one	6
three	16
seven	53
nine	94
two	64
three	34
ten	92
ten	25
six	6
six	35
three	65
four	48
one	42
one	33
seven	88
three	0
eight	48
two	65
five	99
three	86
two	55
eight	51
five	99
eight	24
one	10
three	49
six	28
five	33
three	82
six	99
ten	64
six	73
five	8
six	53
four	73
one	57
two	96
one	44
nine	36
two	44
eight	95
one	45
eight	20
ten	53
five	43
five	62
nine	1
five	35
five	90
ten	12
nine	92
three	40
three	49
eight	45
three	60
nine	43
seven	21
six	88
one	16
three	96
three	59
eight	68
three	48
ten	54
six	98
one	29
six	29
eight	85
eight	11
one	29
one	15
nine	55
three	88
six	99
one	15
ten	4
eight	60
five	28
ten	94
ten	57
seven	34
six	75
seven	62
five	51
ten	79
nine	16
nine	66
four	69
six	62
seven	15
ten	48
ten	98
three	12
eight	1
eight	80
nine	87
five	59
ten	94
four	3
nine	54
two	49
ten	39
three	42
nine	17
two	95
ten	69
ten	64
two	87
ten	96
six	98
two	19
four	89
six	34
ten	97
four	95
one	48
two	67
three	67
ten	87
two	70
four	30
two	17
ten	3
three	88
four	72
three	90
seven	49
nine	25
nine	70
three	25
four	70
six	50
four	39
two	51
five	78
four	60
seven	52
ten	9
one	97
nine	6
five	56
two	51
seven	25
five	9
nine	33
three	69
six	12
six	48
seven	83
seven	82
nine	26
six	78
ten	2
one	78
nine	59
one	87
four	39
seven	12
six	75
seven	89
six	27
nine	13
six	13
one	70
six	2
three	67
eight	8
five	44
nine	89
seven	45
two	82
seven	80
one	62
five	9
five	76
eight	68
ten	93
eight	24
seven	17
one	30
four	91
ten	97
seven	27
three	89
three	42
six	46
four	86
five	51
ten	77
seven	68
four	38
ten	52
eight	40
two	71
four	46
ten	57
eight	70
six	67
five	28
three	0
nine	4
seven	61
ten	28
three	89
one	24
two	9
seven	41
seven	36
eight	58
five	58
three	73
five	1
eight	37
one	18
one	77
eight	21
one	85
five	56
seven	15
two	36
five	31
nine	17
one	73
three	60
nine	36
two	68
seven	29
nine	21
four	76
nine	9
one	86
three	73
seven	95
ten	74
eight	76
eight	47
three	71
six	72
three	89
one	72
nine	11
one	46
four	34
ten	62
six	31
three	9
nine	45
five	49
two	59
three	56
six	26
nine	13
two	15
five	54
five	38
seven	59
nine	78
two	67
three	91
six	99
seven	61
six	91
six	3
one	5
seven	75
two	72
one	72
three	36
nine	69
nine	88
four	71
seven	16
one	90
three	90
ten	63
four	0
seven	92
four	54
seven	76
six	24
five	41
five	17
two	87
one	68
three	55
three	66
seven	11
nine	7
one	38
five	3
four	54
six	25
nine	31
eight	87
five	66
nine	43
seven	28
seven	73
seven	72
three	81
ten	65
one	20
nine	27
four	81
four	95
five	25
five	12
one	69
one	51
two	24
one	26
seven	16
seven	59
five	66
one	71
three	78
four	37
eight	18
three	83
four	93
one	67
two	70
one	4
four	51
ten	14
eight	22
eight	35
nine	0
eight	33
three	93
six	74
one	87
four	61
seven	84
eight	58
ten	20
six	96
five	17
five	67
ten	61
one	42
one	19
eight	76
seven	45
one	8
four	97
five	55
two	4
nine	52
three	73
nine	31
five	4
ten	94
five	37
ten	6
two	54
ten	45
four	1
nine	44
one	25
ten	61
three	24
nine	84
four	67
three	24
four	44
seven	30
nine	53
ten	33
seven	47
five	17
three	43
five	22
six	7
ten	19
one	56
four	54
one	92
six	1
ten	7
two	29
four	95
three	28
three	8
two	33
ten	63
seven	5
five	51
six	58
five	10
nine	99
two	57
seven	77
four	45
four	97
ten	59
ten	83
nine	69
one	70
four	99
six	51
four	71
eight	29
one	29
five	20
six	29
four	68
five	47
nine	14
eight	90
two	65
three	1
two	50
eight	7
nine	59
one	83
two	13
nine	52
seven	51
six	4
one	96
five	27
four	41
ten	9
six	84
two	52
four	72
ten	78
nine	0
three	56
five	92
nine	15
four	15
nine	30
four	61
five	55
four	79
four	51
seven	37
nine	91
eight	19
two	0
two	90
four	53
seven	4
six	25
one	79
eight	41
five	49
one	56
seven	82
four	46
ten	67
nine	55
five	74
six	45
three	86
three	81
six	67
eight	3
eight	6
three	10
two	89
six	93
ten	39
six	7
three	15
three	10
one	11
three	53
seven	21
ten	56
ten	81
nine	97
six	51
five	1
six	55
eight	17
five	31
six	16
three	94
seven	34
ten	44
five	45
three	91
four	40
one	29
eight	2
six	50
four	68
four	56
eight	68
six	29
seven	15
four	68
one	65
eight	36
seven	5
two	55
eight	93
two	6
three	86
ten	71
four	68
three	51
seven	75
nine	97
two	51
one	96
one	54
six	57
seven	66
four	13
one	61
six	54
eight	86
one	1
four	23
five	93
six	49
six	80
five	31
seven	74
seven	65
two	78
six	55
nine	70
eight	46
four	73
eight	55
five	66
nine	92
four	8
five	43
three	16
four	83
ten	97
four	64
four	45
eight	5
six	68
two	89
four	58
one	0
five	28
six	83
four	60
two	57
five	83
ten	43
seven	10
five	35
nine	72
six	28
ten	72
seven	55
six	75
five	28
ten	10
six	38
three	60
ten	92
five	24
nine	2
eight	0
four	17
two	40
one	18
six	85
four	7
eight	0
ten	35
five	25
one	8
three	11
four	23
three	76
five	57
ten	5
four	83
six	82
ten	83
ten	3
ten	9
six	94
two	73
ten	12
four	87
three	27
five	61
two	44
three	69
ten	88
ten	44
four	34
eight	62
five	68
ten	34
eight	0
three	41
seven	60
nine	91
six	98
one	13
one	31
five	22
nine	96
two	10
four	52
eight	78
five	5
six	98
seven	62
one	46
ten	18
four	15
three	75
three	9
one	43
three	13
one	64
six	81
ten	60
nine	30
two	92
four	79
one	43
seven	87
ten	92
two	0
four	65
seven	66
eight	71
nine	48
six	60
nine	9
four	10
seven	15
eight	0
three	49
nine	73
eight	0
ten	44
five	74
nine	54
five	49
six	51
nine	71
eight	49
seven	13
two	15
eight	49
five	1
four	43
six	73
two	21
one	98
seven	63
ten	70
three	16
five	20
nine	60
one	31
four	75
ten	61
three	76
three	33
one	17
four	56
seven	28
seven	80
one	69
seven	74
five	65
three	82
nine	51
two	0
four	80
six	55
two	42
two	74
six	88
two	51
seven	44
four	59
four	61
seven	16
ten	77
ten	96
four	34
one	62
six	98
five	57
two	84
seven	4
seven	43
six	1
nine	78
nine	8
nine	86
ten	14
nine	50
four	94
two	95
eight	70
seven	49
ten	9
four	66
six	64
four	32
two	67
seven	85
four	54
three	10
nine	73
one	36
four	37
six	32
four	16
five	88
five	89
four	9
eight	51
five	92
four	46
nine	83
one	15
seven	73
nine	71
five	13
five	11
nine	98
four	1
nine	49
nine	95
one	0
one	82
two	46
six	77
nine	57
ten	94
one	26
six	70
two	78
four	10
two	27
two	75
one	51
nine	79
seven	76
four	64
nine	24
six	70
four	39
six	48
two	77
nine	86
four	29
nine	20
ten	1
five	30
two	88
nine	4
two	34
nine	35
nine	82
four	67
five	76
one	64
two	8
two	58
two	63
nine	45
seven	84
three	56
ten	22
nine	43
eight	33
seven	26
four	34
ten	81
six	19
seven	96
five	76
seven	29
five	94
four	27
four	98
four	32
two	93
six	28
one	80
eight	14
seven	98
nine	54
six	18
eight	66
four	35
two	48
two	99
eight	49
nine	9
nine	40
seven	30
three	26
seven	70
four	92
two	42
five	83
three	82
ten	39
four	33
ten	15
three	93
eight	74
one	19
two	90
ten	42
seven	15
four	36
nine	91
six	78
eight	3
five	22
five	55
two	33
four	71
eight	87
two	90
one	91
one	64
seven	81
ten	82
ten	72
nine	55
three	7
seven	97
five	27
five	91
nine	14
seven	24
three	81
eight	0
seven	89
one	96
eight	84
seven	68
four	66
four	38
six	21
eight	36
ten	92
nine	22
eight	5
six	16
nine	46
three	1
six	83
seven	54
nine	51
eight	51
eight	75
eight	26
one	38
five	76
eight	37
one	39
three	85
one	62
two	73
one	43
one	81
five	71
five	11
one	0
eight	59
six	6
three	20
nine	83
four	11
ten	93
ten	99
four	3
five	53
six	44
two	51
